portname,month,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker
Lamu,1,0.0,0.1,0.2,0.0,0.0,41.7,0.0,2.4,0.0,0.0,0.0,0.0,7.8,0.0,23.0
Lamu,2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamu,3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,7.9,0.0,0.0
Lamu,4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,91.4,0.0,0.0
Lamu,5,0.0,0.2,0.2,0.0,0.0,18.4,123.0,14.4,0.0,0.0,17.7,0.0,66.3,0.0,0.0
Lamu,6,0.0,0.1,0.1,0.0,0.0,15.0,0.0,4.9,0.0,0.0,47.5,0.0,16.0,0.0,0.0
Lamu,7,0.0,0.1,0.1,0.0,0.0,76.7,0.0,0.0,0.0,0.0,7.8,0.0,10.1,0.0,0.0
Lamu,8,0.1,0.1,0.2,0.0,0.0,166.6,0.0,4.8,0.0,0.0,141.3,0.0,36.3,0.0,0.0
Lamu,9,0.0,0.2,0.2,0.0,0.0,151.4,35.1,0.0,0.0,0.0,73.6,147.9,24.5,0.0,0.0
Lamu,10,0.0,0.1,0.2,0.0,0.0,36.5,0.0,0.0,0.0,0.0,78.3,0.0,6.7,0.0,0.0
Lamu,11,0.0,0.1,0.2,0.0,0.0,316.2,40.9,2.5,0.0,0.0,88.0,37.3,19.5,0.0,0.0
Lamu,12,0.0,0.1,0.2,0.0,0.0,14.8,0.0,0.0,0.0,0.0,4.2,0.0,0.9,0.0,0.0
Mombasa,1,1.6,0.8,0.4,0.3,0.8,15995.2,20895.4,674.3,234.5,28783.9,1290.8,967.8,393.7,4.2,809.9
Mombasa,2,1.6,0.8,0.5,0.4,0.8,14510.9,23864.2,993.7,210.5,26908.6,1306.2,993.6,539.1,11.3,453.1
Mombasa,3,1.5,0.8,0.5,0.4,0.8,14081.4,24593.1,634.5,313.2,23930.5,1010.5,1632.5,563.4,0.9,496.4
Mombasa,4,1.5,0.8,0.4,0.3,0.7,14343.8,23296.0,774.1,289.5,24536.0,889.5,383.4,517.9,5.4,328.8
Mombasa,5,1.5,0.8,0.4,0.4,0.8,14590.6,23974.7,664.0,315.4,25268.4,1053.3,952.9,420.2,1.0,1137.4
Mombasa,6,1.5,0.8,0.4,0.4,0.7,14521.3,25632.3,943.6,417.8,25765.0,1372.6,1375.9,466.6,0.6,313.5
Mombasa,7,1.5,0.7,0.5,0.4,0.8,13687.7,18830.4,932.3,321.9,27357.4,1074.5,667.6,502.9,16.3,464.0
Mombasa,8,1.5,0.7,0.5,0.4,0.9,13640.6,21094.5,1263.1,426.5,28238.6,1190.4,1047.7,355.5,6.4,697.1
Mombasa,9,1.5,0.8,0.6,0.4,0.8,14511.5,23087.9,1132.6,339.6,30297.5,934.0,1007.1,413.9,24.3,747.8
Mombasa,10,1.6,0.9,0.5,0.4,0.8,14917.0,26455.4,1286.3,403.6,29325.8,940.7,599.5,349.0,10.2,663.5
Mombasa,11,1.6,0.7,0.5,0.4,0.9,15145.8,20808.2,1358.2,483.0,30559.7,1027.4,1763.4,419.9,6.6,634.5
Mombasa,12,1.6,0.7,0.5,0.4,0.8,15453.8,18844.8,1053.5,379.1,26334.4,929.8,1388.0,362.5,0.9,589.9
